horizon_months,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
0,0.013800441092325356,0.04287373186359249,0.022816948968126475,-0.006103863517098215,-0.043099684969661003,0.18428645623064135,0.0,0.0,0.0,0.0,0.0
1,-0.020970010627562728,0.05453305377289382,0.012557892753077858,0.011427612046007134,-0.020593703038591513,0.039952471476432404,-0.02390503540986608,0.01338503584628622,-0.009127738232804687,-0.006161829774012345,0.010892704887683713
2,-0.006043571656669045,0.00565157444363951,0.018991368898154334,-0.03615965877529118,-0.01532770329391443,-0.021638129139847632,-0.014472796660781526,0.014253667059130769,-0.009669584513117701,-0.02016225192563186,0.00020277442649594484
3,0.020762833225969526,-0.008132094990154418,0.008070220466698103,-0.016301726278045322,0.002496891822779717,-0.012955066841891539,-0.016514608753309325,0.011662877640248964,-0.008149715821251064,0.0016357519885454716,0.0021053485246984877
4,0.008721279405108936,-0.0044512287048584205,0.000613495249934361,0.008097117406323922,0.009594160324581248,0.003238618578086129,-0.008491646595265311,0.003681552472339857,-0.00873411312720455,0.0006819737815627955,0.005962356362601718
5,-0.005314962019859404,-0.00014939234813343217,0.002828428370118646,0.011723342926277865,0.0010098132144524007,0.006053944461241308,0.0016671474158272245,0.0010427162979628945,-0.006080536568073031,0.0013558999813577275,-0.0016637526838299188
6,-0.007568341514760431,-0.000534476524886925,0.0015340359487664597,0.007932969077477705,-0.00025941034209304016,0.00014919795853523887,6.326294080004216e-05,-0.000576847900786262,-0.004520489807098257,-0.0012329950211111317,-0.005341275789019267
7,-0.004084996696200867,-0.0012570350747512335,0.00046623452695812383,0.004172389511923667,0.001577303254739998,-0.001880307116956901,-0.0019161381768494517,-0.0015235604013949028,-0.004259297756501852,-0.0020336119758631063,-0.00317756277219791
8,-0.0007104790540813224,-0.0004775730929696436,0.0005243207194085646,0.002188054382595329,0.0017771607737803073,-0.0010053965737385367,-0.0007929737535728028,-0.0010449532420927108,-0.003730407640807174,-0.0009904600845949748,-0.001245430907444034
9,0.00027464461933784896,0.00019389145132581504,0.0009740972658327862,0.0014065667034648052,0.0003406246985300441,-0.00015012049738310595,-0.0003174707619250314,-0.0007964849597353705,-0.0029404342472359054,-0.00017608685082141668,-0.0010467884199867467
10,-0.0001789555197224446,8.163550266618415e-05,0.0006734957093570539,0.0012679456759402629,-0.00033150678483546384,-9.097565292708198e-05,-0.0005819982550185827,-0.0008181724328724658,-0.0022597267603717986,5.174915750858576e-05,-0.0011501983078454146
11,-0.0005565955720050871,-0.000335101559100722,-5.503022542429272e-06,0.0013388338213244381,4.551441572161575e-05,-0.0002005606482825582,-0.0005163955396357661,-0.0006234768704481879,-0.0018329259142863214,-8.631680015368915e-05,-0.000982939415599535
12,-0.0005391184444150001,-0.0005034467247248567,-0.00033231343786509926,0.0012182159523773954,0.0002974294917509613,-0.0002139244463293366,-0.0001603072326007485,-0.00048709513728469625,-0.0015005280335194282,-0.00014409988697433948,-0.0008312430288574059
13,-0.0004204368956688411,-0.00045160516967900197,-0.000342032966177954,0.0009708070657800408,0.00019357207778989983,-0.00028274718832333194,7.089406023023978e-05,-0.0005018113137155396,-0.001187505810479544,-8.824898368879352e-05,-0.0007962300676264831
14,-0.00032652736796122867,-0.0004010207338733646,-0.00033027686027412733,0.0007325959727162558,7.957188368992085e-05,-0.0003433218153277084,0.00011466738139544423,-0.0005325188370163235,-0.0009238690417168679,-3.18215782374405e-05,-0.0007266449787926585
15,-0.00024517902936627774,-0.00037532448821747286,-0.0003634144026537065,0.0005679567449079631,7.111207209527367e-05,-0.00031700556244122557,0.00011946075242572132,-0.0004978785543613203,-0.0007168454918381299,-8.065442094402728e-07,-0.0005944873796101077
16,-0.00018139562923640058,-0.00033629191178982556,-0.0003778627395907156,0.00044966883028283805,6.874642009186645e-05,-0.00025329316700666585,0.00014943538557700133,-0.00043185229226202896,-0.0005508564095397751,1.8032801285170285e-05,-0.0004771179699569669
17,-0.00014137408922011902,-0.00029013481219350966,-0.0003586712597935556,0.0003469236818338103,3.63848786367144e-05,-0.00021335018441630447,0.0001725058016985244,-0.00037325024212855434,-0.00041414248216714946,3.0320822156965237e-05,-0.00040137555923539794
18,-0.00011284330686759147,-0.00025473270636843453,-0.0003329651311660412,0.00025943542952857896,1.1445112763320501e-05,-0.00019525466825304845,0.00017083252407519111,-0.0003251931052604538,-0.000305365765943512,3.543043086325484e-05,-0.0003401157105970064
19,-8.600758790103278e-05,-0.00022684119592923774,-0.00030979074555060644,0.00019243305545960112,6.519538714896904e-06,-0.00017569177822860567,0.00016065032423576652,-0.0002798675092031671,-0.00022164977835916326,3.648813490938188e-05,-0.0002789797576516805
20,-6.232404252445784e-05,-0.00019815545752422458,-0.00028287608889257943,0.000141986047467338,5.123722045661845e-06,-0.00015078935545218632,0.00015259638595867454,-0.00023746067640116082,-0.00015687683067786207,3.6996298091514244e-05,-0.00022503229295266455
21,-4.495870927346445e-05,-0.0001690939367498744,-0.0002516575611699001,0.00010231165432217324,-4.346072659565292e-07,-0.00012781225239629518,0.0001431542632387064,-0.00020071930846883758,-0.00010637155602568039,3.683220120076732e-05,-0.00018257674608131784
22,-3.267838031879273e-05,-0.0001432459206716276,-0.0002209232984307077,7.09308900122086e-05,-5.459038699403846e-06,-0.00010902857444807992,0.00012992587827923488,-0.00016918585285750445,-6.779910324615772e-05,3.510590752894239e-05,-0.00014797754250364613
23,-2.2925318796392803e-05,-0.0001211077114680481,-0.00019283297262838556,4.6897076251741244e-05,-7.210086797040256e-06,-9.243421728574456e-05,0.00011547688335833794,-0.0001412853824995473,-3.9194625257452724e-05,3.2252753141302547e-05,-0.0001181420925494089
24,-1.4900466369666037e-05,-0.0001015307152104136,-0.00016677518653670847,2.8838304102545436e-05,-7.6309789257016e-06,-7.720629337641463e-05,0.0001019115707474856,-0.00011675625698761883,-1.8349418540585873e-05,2.91646554064546e-05,-9.302767128174032e-05
